
> harmonygrid@0.1.0 dev
> vite --host 127.0.0.1 --port 5173 --strictPort
10:51:29 AM [vite] (client) page reload docs/build/index.html
10:53:25 AM [vite] (client) page reload docs/website/index.html
10:53:25 AM [vite] (client) page reload docs/site/index.html
10:56:53 AM [vite] (client) page reload docs/website/about.html
10:56:53 AM [vite] (client) page reload docs/website/index.html
10:57:12 AM [vite] (client) page reload docs/website/about.html
10:57:12 AM [vite] (client) page reload docs/site/about.html
10:57:12 AM [vite] (client) page reload docs/site/index.html
11:31:59 AM [vite] (client) page reload src/audio/instrument.worklet.ts
11:32:01 AM [vite] (client) page reload docs/site/play/index.html
11:32:01 AM [vite] (client) page reload docs/site/play/index.html
11:32:01 AM [vite] (client) page reload docs/site/index.html
11:32:01 AM [vite] (client) page reload docs/site/credits.html
11:32:01 AM [vite] (client) page reload docs/site/about.html
11:38:54 AM [vite] (client) page reload src/audio/instrument.worklet.ts
11:39:00 AM [vite] (client) page reload docs/site/play/index.html
11:39:00 AM [vite] (client) page reload docs/site/play/index.html
11:39:00 AM [vite] (client) page reload docs/site/index.html
11:39:00 AM [vite] (client) page reload docs/site/credits.html
11:39:00 AM [vite] (client) page reload docs/site/about.html
11:40:03 AM [vite] (client) page reload src/app.ts
11:40:04 AM [vite] (client) page reload docs/site/play/index.html
11:40:04 AM [vite] (client) page reload docs/site/index.html
11:40:04 AM [vite] (client) page reload docs/site/credits.html
11:40:04 AM [vite] (client) page reload docs/site/about.html
11:40:49 AM [vite] (client) page reload src/audio/instrument.worklet.ts
11:40:49 AM [vite] (client) page reload src/audio/voices.ts
11:40:50 AM [vite] (client) page reload docs/site/play/index.html
11:40:50 AM [vite] (client) page reload docs/site/index.html
11:40:50 AM [vite] (client) page reload docs/site/credits.html
11:40:50 AM [vite] (client) page reload docs/site/about.html
11:41:36 AM [vite] (client) page reload docs/website/index.html
11:41:36 AM [vite] (client) page reload docs/website/credits.html
11:41:36 AM [vite] (client) page reload docs/site/index.html
11:41:36 AM [vite] (client) page reload docs/site/credits.html
11:48:54 AM [vite] (client) page reload src/view.ts
11:48:54 AM [vite] (client) hmr update /src/style.css
11:48:54 AM [vite] (client) page reload index.html
11:48:54 AM [vite] (client) page reload docs/website/index.html
11:48:54 AM [vite] (client) page reload docs/website/about.html
11:48:54 AM [vite] (client) page reload docs/website/credits.html
11:48:54 AM [vite] (client) page reload docs/site/play/index.html
11:48:54 AM [vite] (client) page reload docs/site/play/index.html
